,antiguedad,calle,cant. baños,cant. cocheras,cant. dormitorios,cant. plantas,enlace,precio,sup. cubierta,sup. terreno
60,18,serrano,2,1,4,3,/casa-en-venta-en-banfield-5-ambientes--10754403,250000,240,200
61,28,godoy cruz,3,1,5,2,/casa-en-venta-en-banfield-6-ambientes--5845540,290000,260,644
62,25,carlos croce,2,0,3,2,/casa-en-venta-en-banfield-4-ambientes--5803768,360000,229,242
63,12,pacheco de melo,3,2,3,1,/casa-en-venta-en-banfield-4-ambientes--8497192,198000,180,400
64,50,monseñor schell,1,1,4,1,/casa-en-venta-en-banfield-5-ambientes--8909589,140000,110,208
65,35,pacheco de melo,1,2,2,1,/casa-en-venta-en-banfield-3-ambientes--8912184,110000,100,260
66,50,guardia nacion,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--9024452,118000,100,150
67,30,carlos croce,1,0,1,1,/casa-en-venta-en-banfield-2-ambientes--8235375,80000,39,75
68,40,gener pacios,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--8007158,169000,130,134
69,30,cablero,2,2,4,2,/casa-en-venta-en-banfield-6-ambientes--9273054,195000,125,233
70,35,uriarte,2,2,2,1,/casa-en-venta-en-banfield-3-ambientes--9857758,180000,155,476
71,40,constitucion,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--10897569,95000,88,156
72,5,fonrouge,1,1,1,2,/casa-en-venta-en-banfield-3-ambientes--11193955,99800,79,169
73,35,onofre,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11395674,139000,188,675
74,16,pres manuel quintana,3,3,4,3,/casa-en-venta-en-banfield-6-ambientes--11412347,398000,256,326
75,50,berutti,2,0,3,1,/casa-en-venta-en-banfield-4-ambientes--9073337,349000,158,516
76,10,manuel castro,4,9,3,2,/casa-en-venta-en-banfield-4-ambientes--11431135,830000,345,969
77,40,glo,2,6,2,1,/casa-en-venta-en-banfield-3-ambientes--11433039,135000,120,237
78,6,boulogne sur mer,4,2,3,1,/casa-en-venta-en-banfield-4-ambientes--11585758,300000,160,225
79,50,rodriguez peña,2,1,4,1,/casa-en-venta-en-banfield-5-ambientes--11633857,355000,180,500
80,56,serrano,3,1,5,1,/casa-en-venta-en-banfield-6-ambientes--11630752,240000,278,"442,14"
81,40,darragueira,3,2,5,2,/casa-en-venta-en-banfield-6-ambientes--8536998,270000,160,200
82,50,godoy cruz,2,0,2,1,/casa-en-venta-en-banfield-3-ambientes--8889928,178000,130,390
83,20,rincon,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--9056983,210000,170,208
84,40,melo,2,1,3,1,/casa-en-venta-en-banfield-5-ambientes--9057114,140000,142,209
85,45,pasaje eleodoro lobos,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--6228626,280000,195,233
86,50,"biña , banfield, bs. as.-",1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--11057609,110000,80,329
